key,name,iata-code,operational-scope,city,country,website,email,phone-number
airport-34,Lorem ipsum dolor sit ame,ACI,INTERNATIONAL,Lorem ipsum dolor sit ame,لوريم إيبسوم,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-35,Lorem ipsum dolor sit ame,ACJ,INTERNATIONAL,Lorem ipsum dolor sit ame,洛伦·伊普森,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-36,Lorem ipsum dolor sit ame,ACK,INTERNATIONAL,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-37,Lorem ipsum dolor sit ame,ACL,INTERNATIONAL,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-38,Lorem ipsum dolor sit ame,ACM,INTERNATIONAL,Lorem ipsum dolor sit ame,'' or 'A' = 'A,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
airport-39,Lorem ipsum dolor sit ame,ACN,INTERNATIONAL,Lorem ipsum dolor sit ame,Spain,http://lorem.com/ipsum,acme@lorem-ipsum.org,689762586
#website-variants
airport-40,Lorem ipsum dolor sit ame,ACO,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://a.b,acme@lorem-ipsum.org,689762586
airport-41,Lorem ipsum dolor sit ame,ACP,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://a.b,acme@lorem-ipsum.org,689762586
airport-42,Lorem ipsum dolor sit ame,ACQ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",acme@lorem-ipsum.org,689762586
airport-43,Lorem ipsum dolor sit ame,ACR,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",acme@lorem-ipsum.org,689762586
airport-44,Lorem ipsum dolor sit ame,ACS,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,https://www.lorem-ipsum.org,acme@lorem-ipsum.org,689762586
airport-45,Lorem ipsum dolor sit ame,ACT,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org,acme@lorem-ipsum.org,689762586
airport-46,Lorem ipsum dolor sit ame,ACU,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org/dolor/sit.html,acme@lorem-ipsum.org,689762586
airport-47,Lorem ipsum dolor sit ame,ACV,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org/dolor/sit.html#dolor,acme@lorem-ipsum.org,689762586
airport-48,Lorem ipsum dolor sit ame,ACW,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?a=1&b=2,acme@lorem-ipsum.org,689762586
airport-49,Lorem ipsum dolor sit ame,ACX,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?,acme@lorem-ipsum.org,689762586
airport-50,Lorem ipsum dolor sit ame,ACZ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org?a&b,acme@lorem-ipsum.org,689762586
airport-51,Lorem ipsum dolor sit ame,ADC,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/,acme@lorem-ipsum.org,689762586
airport-52,Lorem ipsum dolor sit ame,ADD,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a,acme@lorem-ipsum.org,689762586
airport-53,Lorem ipsum dolor sit ame,ADE,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b,acme@lorem-ipsum.org,689762586
airport-54,Lorem ipsum dolor sit ame,ADF,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b?,acme@lorem-ipsum.org,689762586
airport-55,Lorem ipsum dolor sit ame,ADG,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b?a&b,acme@lorem-ipsum.org,689762586
airport-56,Lorem ipsum dolor sit ame,ADH,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://example.org/a/b?a&b,acme@lorem-ipsum.org,689762586
airport-57,Lorem ipsum dolor sit ame,ADI,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,null,acme@lorem-ipsum.org,689762586
#email-variants
airport-58,Lorem ipsum dolor sit ame,AEP,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,null,689762586
airport-59,Lorem ipsum dolor sit ame,ADJ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,a@b.e,689762586
airport-60,Lorem ipsum dolor sit ame,ADK,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,a@b.es,689762586
airport-61,Lorem ipsum dolor sit ame,ADL,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,a@b.esx,689762586
airport-62,Lorem ipsum dolor sit ame,ADM,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,689762586
airport-63,Lorem ipsum dolor sit ame,ADN,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,689762586
#phone-number-variants
airport-64,Lorem ipsum dolor sit ame,ADP,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,null
airport-65,Lorem ipsum dolor sit ame,ADQ,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,123456
airport-66,Lorem ipsum dolor sit ame,ADR,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,+678321
airport-67,Lorem ipsum dolor sit ame,ADS,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,1279654
airport-68,Lorem ipsum dolor sit ame,ADT,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,+7317896
airport-69,Lorem ipsum dolor sit ame,AEK,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,77897897897897
airport-70,Lorem ipsum dolor sit ame,AEL,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,+12314567899742
airport-71,Lorem ipsum dolor sit ame,AEM,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,045678912378945
airport-72,Lorem ipsum dolor sit ame,AEN,INTERNATIONAL,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123045896410547

